group,variable,level,n,denominator_records,denominator_nonmissing,pct_records,pct_nonmissing
Global,Sexo,M,19,41,41,46.34,46.34
Global,Sexo,F,13,41,41,31.71,31.71
Global,Sexo,H,9,41,41,21.95,21.95
Global,Lado Afectado,Derecho,26,41,41,63.41,63.41
Global,Lado Afectado,Izquierdo,15,41,41,36.59,36.59
Global,Abordaje,Preauricular,23,41,41,56.1,56.1
Global,Abordaje,Intraoral,18,41,41,43.9,43.9
Global,Lesión Nervio Facial (Sí=1/No=0),0.0,32,41,41,78.05,78.05
Global,Lesión Nervio Facial (Sí=1/No=0),1.0,9,41,41,21.95,21.95
Global,Cicatriz Visible (Sí: 1/No: 0),1.0,23,41,41,56.1,56.1
Global,Cicatriz Visible (Sí: 1/No: 0),0.0,18,41,41,43.9,43.9
Global,Oclusión (Normal: 1/Alterada:0),0.0,41,41,41,100.0,100.0
Global,Recidiva (Sí/No),NO,36,41,41,87.8,87.8
Global,Recidiva (Sí/No),?,5,41,41,12.2,12.2
Global,Resultado Funcional a 6m (Bueno:1 / Malo:0),1.0,40,41,41,97.56,97.56
Global,Resultado Funcional a 6m (Bueno:1 / Malo:0),0.0,1,41,41,2.44,2.44
Global,Necesidad de ortognatica posteriormente,SI,31,41,41,75.61,75.61
Global,Necesidad de ortognatica posteriormente,NO,7,41,41,17.07,17.07
Global,Necesidad de ortognatica posteriormente,?,2,41,41,4.88,4.88
Global,Necesidad de ortognatica posteriormente,Si,1,41,41,2.44,2.44
Global,Complicaciones: SI: 1 /NO: 0),0.0,27,41,40,65.85,67.5
Global,Complicaciones: SI: 1 /NO: 0),1.0,13,41,40,31.71,32.5
Global,Complicaciones: SI: 1 /NO: 0),Missing,1,41,40,2.44,
Global,TIPO DE COMPLICACIÓN,Missing,28,41,13,68.29,
Global,TIPO DE COMPLICACIÓN,Parálisis,9,41,13,21.95,69.23
Global,TIPO DE COMPLICACIÓN,Hematoma,2,41,13,4.88,15.38
Global,TIPO DE COMPLICACIÓN,Dehiscencia,1,41,13,2.44,7.69
Global,TIPO DE COMPLICACIÓN,Infección,1,41,13,2.44,7.69
Global,Recidiva binaria,0.0,36,41,36,87.8,100.0
Global,Recidiva binaria,Missing,5,41,36,12.2,
Global,Necesidad ortognática binaria,1.0,32,41,39,78.05,82.05
Global,Necesidad ortognática binaria,0.0,7,41,39,17.07,17.95
Global,Necesidad ortognática binaria,Missing,2,41,39,4.88,
Global,Sangrado postoperatorio >0 ml,1.0,21,41,41,51.22,51.22
Global,Sangrado postoperatorio >0 ml,0.0,20,41,41,48.78,48.78
Intraoral,Sexo,F,13,18,18,72.22,72.22
Intraoral,Sexo,M,5,18,18,27.78,27.78
Intraoral,Lado Afectado,Derecho,11,18,18,61.11,61.11
Intraoral,Lado Afectado,Izquierdo,7,18,18,38.89,38.89
Intraoral,Abordaje,Intraoral,18,18,18,100.0,100.0
Intraoral,Lesión Nervio Facial (Sí=1/No=0),0.0,18,18,18,100.0,100.0
Intraoral,Cicatriz Visible (Sí: 1/No: 0),0.0,18,18,18,100.0,100.0
Intraoral,Oclusión (Normal: 1/Alterada:0),0.0,18,18,18,100.0,100.0
Intraoral,Recidiva (Sí/No),NO,18,18,18,100.0,100.0
Intraoral,Resultado Funcional a 6m (Bueno:1 / Malo:0),1.0,18,18,18,100.0,100.0
Intraoral,Necesidad de ortognatica posteriormente,SI,14,18,18,77.78,77.78
Intraoral,Necesidad de ortognatica posteriormente,NO,3,18,18,16.67,16.67
Intraoral,Necesidad de ortognatica posteriormente,Si,1,18,18,5.56,5.56
Intraoral,Complicaciones: SI: 1 /NO: 0),0.0,15,18,18,83.33,83.33
