group,variable,n,missing_n,mean,sd,median,q1,q3,min,max
Global,Edad,41,0,22.415,7.426,20.0,18.0,24.0,15.0,49.0
Global,Tiempo Quirúrgico (min),41,0,60.927,21.994,60.0,45.0,70.0,28.0,120.0
Global,Sangrado Postop (ml),41,0,5.659,7.535,5.0,0.0,10.0,0.0,33.0
Global,Dolor Postoperatorio (0–10),41,0,2.195,2.369,1.0,0.0,4.0,0.0,9.0
Global,Recuperación Funcional (días),40,1,6.85,1.902,6.5,6.0,7.25,4.0,14.0
Global,Resultado Estético numérico,22,19,8.591,0.796,9.0,8.25,9.0,6.0,9.0
Intraoral,Edad,18,0,22.556,5.565,21.0,19.25,23.5,15.0,35.0
Intraoral,Tiempo Quirúrgico (min),18,0,48.222,19.154,41.0,35.5,57.75,28.0,93.0
Intraoral,Sangrado Postop (ml),18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intraoral,Dolor Postoperatorio (0–10),18,0,1.167,1.823,0.0,0.0,2.0,0.0,5.0
Intraoral,Recuperación Funcional (días),18,0,6.278,1.742,6.0,5.0,7.0,4.0,10.0
Intraoral,Resultado Estético numérico,0,18,,,,,,,
Preauricular,Edad,23,0,22.304,8.736,19.0,17.0,24.0,15.0,49.0
Preauricular,Tiempo Quirúrgico (min),23,0,70.87,18.989,60.0,60.0,75.0,50.0,120.0
Preauricular,Sangrado Postop (ml),23,0,10.087,7.519,10.0,5.0,13.0,0.0,33.0
Preauricular,Dolor Postoperatorio (0–10),23,0,3.0,2.468,3.0,1.0,5.0,0.0,9.0
Preauricular,Recuperación Funcional (días),22,1,7.318,1.937,7.0,6.0,7.75,5.0,14.0
Preauricular,Resultado Estético numérico,22,1,8.591,0.796,9.0,8.25,9.0,6.0,9.0
