analysis_status,outcome,outcome_type,comparison,test,n_group_1,n_group_2,median_group_1,median_group_2,effect,effect_value,ci95_low,ci95_high,secondary_effect,secondary_effect_value,statistic,p_value,interpretation_note,events_group_1,events_group_2,risk_group_1,risk_group_2,secondary_ci95_low,secondary_ci95_high
Testado,Tiempo Quirúrgico (min),cuantitativa/ordinal,Intraoral vs Preauricular,U de Mann-Whitney,18.0,23.0,41.0,60.0,diferencia de medianas (grupo 1 - grupo 2),-19.0,-33.0,-7.5,correlación rank-biserial,-0.647,73.0,0.000321,Comparación exploratoria; IC por bootstrap con semilla fija.,,,,,,
Testado,Sangrado Postop (ml),cuantitativa/ordinal,Intraoral vs Preauricular,U de Mann-Whitney,18.0,23.0,0.0,10.0,diferencia de medianas (grupo 1 - grupo 2),-10.0,-10.0,-5.0,correlación rank-biserial,-0.913,18.0,0.0,Comparación exploratoria; IC por bootstrap con semilla fija.,,,,,,
Testado,Dolor Postoperatorio (0–10),cuantitativa/ordinal,Intraoral vs Preauricular,U de Mann-Whitney,18.0,23.0,0.0,3.0,diferencia de medianas (grupo 1 - grupo 2),-3.0,-4.0,-1.0,correlación rank-biserial,-0.471,109.5,0.007966,Comparación exploratoria; IC por bootstrap con semilla fija.,,,,,,
Testado,Recuperación Funcional (días),cuantitativa/ordinal,Intraoral vs Preauricular,U de Mann-Whitney,18.0,22.0,6.0,7.0,diferencia de medianas (grupo 1 - grupo 2),-1.0,-2.0,0.0,correlación rank-biserial,-0.371,124.5,0.042047,Comparación exploratoria; IC por bootstrap con semilla fija.,,,,,,
No testado,Resultado Estético numérico,,Intraoral vs Preauricular,,,,,,,,,,,,,,No hay exactamente dos grupos con datos analizables.,,,,,,
Testado,Lesión Nervio Facial (Sí=1/No=0),binaria,Intraoral vs Preauricular,Fisher exacta,18.0,23.0,,,diferencia de riesgos (grupo 1 - grupo 2),-0.3913,-0.5921,-0.0457,odds ratio,,,0.002471,"IC de diferencia de riesgos por Newcombe-Wilson aproximado; OR con corrección 0,5 si aplica.",0.0,9.0,0.0,0.3913,1.3,452.0462
Testado,Sangrado postoperatorio >0 ml,binaria,Intraoral vs Preauricular,Fisher exacta,18.0,23.0,,,diferencia de riesgos (grupo 1 - grupo 2),-0.913,-0.9758,-0.5562,odds ratio,,,0.0,"IC de diferencia de riesgos por Newcombe-Wilson aproximado; OR con corrección 0,5 si aplica.",0.0,21.0,0.0,0.913,14.3443,7058.6272
Testado,Cicatriz Visible (Sí: 1/No: 0),binaria,Intraoral vs Preauricular,Fisher exacta,18.0,23.0,,,diferencia de riesgos (grupo 1 - grupo 2),-1.0,-1.0,-0.681,odds ratio,,,0.0,"IC de diferencia de riesgos por Newcombe-Wilson aproximado; OR con corrección 0,5 si aplica.",0.0,23.0,0.0,1.0,32.9201,91862.4609
No testado,Oclusión (Normal: 1/Alterada:0),,Intraoral vs Preauricular,,,,,,,,,,,,,,La variable no tiene dos niveles observados tras excluir perdidos.,,,,,,
Testado,Resultado Funcional a 6m (Bueno:1 / Malo:0),binaria,Intraoral vs Preauricular,Fisher exacta,18.0,23.0,,,diferencia de riesgos (grupo 1 - grupo 2),0.0435,-0.1682,0.2099,odds ratio,0.0,,1.0,"IC de diferencia de riesgos por Newcombe-Wilson aproximado; OR con corrección 0,5 si aplica.",18.0,22.0,1.0,0.9565,0.0156,10.552
Testado,Complicaciones: SI: 1 /NO: 0),binaria,Intraoral vs Preauricular,Fisher exacta,18.0,22.0,,,diferencia de riesgos (grupo 1 - grupo 2),-0.2879,-0.595,0.123,odds ratio,4.1667,,0.08963,"IC de diferencia de riesgos por Newcombe-Wilson aproximado; OR con corrección 0,5 si aplica.",3.0,10.0,0.1667,0.4545,0.8985,15.4018
Testado,Necesidad ortognática binaria,binaria,Intraoral vs Preauricular,Fisher exacta,18.0,21.0,,,diferencia de riesgos (grupo 1 - grupo 2),0.0238,-0.3155,0.3416,odds ratio,0.85,,1.0,"IC de diferencia de riesgos por Newcombe-Wilson aproximado; OR con corrección 0,5 si aplica.",15.0,17.0,0.8333,0.8095,0.1854,4.1588
No testado,Recidiva binaria,,Intraoral vs Preauricular,,,,,,,,,,,,,,La variable no tiene dos niveles observados tras excluir perdidos.,,,,,,
Descriptivo,TIPO DE COMPLICACIÓN,,Intraoral vs Preauricular,,,,,,,,,,,,,,Categoría RxC muy dispersa; se informa descriptiva por abordaje sin contraste.,,,,,,
